Register Number,Gender,Study hours,Attendance percentage,Semester 1(aggregate),Semester 2(aggregate),Semester 3(aggregate),Semester 4(aggregate),Semester 5(aggregate),Semester 6(aggregate),Semester 7(aggregate),Semester 8(aggregate),Total aggregate,No. of backlogs,Internet access(yes/no),Extracurricular activities(yes/no),Device used for studing,Library Usage,Sleep hours,Classroom engagement level,Peer interaction level
REG02723,Female,3.1,82.8,65.52,63.81,62.72,61.74,59.86,61.57,63.07,62.79,62.64,5,yes,no,Mobile,no,2-4 hrs,Medium,Low
REG02724,Male,2.7,76,67.36,70.51,76.01,78.18,75.99,82.66,82.89,86.41,77.5,4,yes,no,Text books,yes,4-6 hrs,Low,Medium
REG02725,Male,2,88.7,56.9,59.23,61.78,63.98,65.67,65.75,66.92,74.07,64.29,6,yes,yes,"Laptops, Mobile",yes,6-8 hrs,Low,Low
REG02726,Male,4.1,77.7,54.29,57.66,59.97,62.39,63.2,60.78,62.91,70.53,61.47,1,yes,yes,"Laptops, Mobile",yes,4-6 hrs,Medium,Low
REG02727,Male,5.3,81.2,69,72.54,67.71,69.02,70.5,71.2,69.57,70.14,69.96,2,yes,yes,"Laptops, Mobile, Text books",yes,4-6 hrs,Low,Low
REG02728,Male,5.9,68.5,52.12,55.7,51.34,50.04,55.08,52.67,55.65,56.05,53.58,2,yes,no,"Laptops, Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG02729,Male,5,69.1,70.95,75.33,76.47,77.79,84.36,84.93,81.05,88.15,79.88,7,yes,yes,"Mobile, Text books",yes,6-8 hrs,High,Low
REG02730,Female,3.2,82.1,75.83,69.57,68.48,68.28,66.57,61.72,65.54,56.06,66.51,2,yes,no,Mobile,no,4-6 hrs,Medium,Low
REG02731,Female,5.2,71.4,81.27,82.04,81.52,76.8,77.69,76.86,79.26,76.17,78.95,5,yes,yes,"Laptops, Mobile",yes,2-4 hrs,High,High
REG02732,Male,4.7,98.8,67.03,64.66,64.77,67.24,65.13,65.74,67.01,60.34,65.24,2,yes,yes,Mobile,yes,<2 hrs,Low,Low
REG02733,Male,6.4,65.5,78.8,72.89,79.66,78.32,81.57,84.48,88.28,89.58,81.7,2,yes,yes,"Laptops, Text books",yes,6-8 hrs,High,High
REG02734,Female,6.1,75.6,54.69,52.67,56.47,51.99,54.54,52.33,57.74,57.68,54.76,7,yes,yes,Mobile,yes,4-6 hrs,Medium,Medium
REG02735,Female,4.6,82.1,75.21,68.95,68.12,67.25,67.98,64.58,64.13,64.23,67.56,4,yes,yes,Laptops,no,<2 hrs,Medium,Medium
REG02736,Female,2.7,79.1,63.99,64.14,68.29,60.75,68.27,64.59,63.34,62.17,64.44,3,yes,yes,"Laptops, Mobile",no,6-8 hrs,Low,High
REG02737,Other,3.2,73.2,61.24,63.01,63.27,66.02,63.02,62.49,64.13,62.96,63.27,8,yes,yes,"Laptops, Text books",yes,4-6 hrs,Medium,Medium
REG02738,Female,3.4,74.3,79.07,75.85,78.28,78.68,79.61,74.83,74.41,80.46,77.65,0,yes,yes,"Mobile, Text books",yes,2-4 hrs,High,Medium
REG02739,Other,3.9,74.1,80.37,76.45,77.36,72.09,67.45,69.4,64.1,63.2,71.3,1,yes,yes,Mobile,no,6-8 hrs,Low,High
REG02740,Male,5,79.7,63.55,58.7,61.83,62.16,60.64,62.12,62.74,65.27,62.13,3,yes,yes,Laptops,no,4-6 hrs,High,Medium
REG02741,Male,5.9,97.6,70.32,69.51,69.07,70.66,67.8,71.22,70.33,65.32,69.28,6,yes,yes,"Laptops, Text books",yes,4-6 hrs,High,Low
REG02742,Male,4.4,82.6,53.43,55.92,55.91,55.25,56.27,55.35,55.94,54.65,55.34,3,no,yes,"Laptops, Mobile",no,6-8 hrs,High,Medium
REG02743,Male,4.5,91.5,76.24,78.16,73.15,76.51,76.88,76.8,76.25,75.26,76.16,4,yes,yes,Text books,yes,<2 hrs,High,Medium
REG02744,Male,4.8,86.1,74.37,73.87,71.14,71.24,66.13,66.4,61.75,64.19,68.64,0,no,no,"Laptops, Text books",no,4-6 hrs,Medium,Medium
REG02745,Female,3.5,90.9,74.04,77.61,75.21,83.58,85.04,89.51,85.79,88.22,82.38,4,yes,yes,"Laptops, Mobile",yes,<2 hrs,High,Medium
REG02746,Female,2.6,59.6,67.05,65.14,65.35,60.88,58.84,57.94,52.95,57.51,60.71,5,yes,no,"Mobile, Text books",no,4-6 hrs,High,Medium
REG02747,Female,1,79.6,74.7,74.26,69.86,71.28,65.4,64.01,60.93,62.96,67.93,1,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Low
REG02748,Male,3.1,92.5,65.03,65.1,63.58,64.33,65.54,64.28,65.51,61.61,64.37,3,yes,yes,"Laptops, Mobile",no,6-8 hrs,High,Medium
REG02749,Female,5.4,77.4,71.56,71.13,64.45,61.48,60.77,67.17,63.68,54.33,64.32,3,yes,no,"Laptops, Text books",no,4-6 hrs,High,Medium
REG02750,Female,3.1,96.1,53.13,50.52,53.44,53.15,50.83,50.05,50.81,52.7,51.83,5,yes,yes,"Laptops, Mobile",yes,6-8 hrs,Medium,Medium
REG02751,Male,4,93.9,74.22,73.15,70.71,72.72,75.4,75.38,75.11,76.26,74.12,5,yes,yes,Mobile,yes,6-8 hrs,Medium,Medium
REG02752,Female,5.4,78.2,61.71,63.06,64.4,67.37,70.57,75.07,75.37,74.37,68.99,2,yes,yes,"Mobile, Text books",yes,2-4 hrs,High,Medium
REG02753,Male,5.5,78,71.57,71.15,72.68,73.17,72.47,72.11,77.57,75.31,73.25,3,yes,yes,Laptops,yes,6-8 hrs,Medium,Medium
REG02754,Male,2.3,73.9,83.8,80.45,74.6,72.21,71.99,68.47,69.13,62.05,72.84,3,no,no,"Laptops, Mobile, Text books",yes,>8 hrs,High,High
REG02755,Female,6.5,77,50.88,50.83,49.28,50.21,47.41,51.63,48.16,51.56,50,5,yes,no,"Mobile, Text books",yes,4-6 hrs,Medium,Low
REG02756,Male,6.8,72.1,55.86,53.38,53.61,60.89,60.69,61.43,66.58,63.53,59.5,7,yes,no,Laptops,no,4-6 hrs,Low,Medium
REG02757,Male,2.2,85.4,65.35,59.77,55.55,56.53,55.14,48.9,50.34,52.08,55.46,5,yes,yes,"Laptops, Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG02758,Female,2.9,70.4,69.06,71.5,68.31,69.1,63.76,72.08,69.39,68.39,68.95,1,yes,no,Laptops,yes,6-8 hrs,High,Medium
REG02759,Female,6.9,86.8,58.35,57.7,56.33,54.06,54.68,56.56,56.8,53.72,56.02,6,yes,no,Text books,yes,6-8 hrs,Medium,Low
REG02760,Male,4.2,87,74.34,78.27,80.01,81.65,84.6,82.98,83.48,91.91,82.16,5,yes,no,Mobile,yes,6-8 hrs,Medium,Medium
REG02761,Male,0.5,68.7,79.17,81.18,79.42,81.12,84.28,87.1,84.66,89.39,83.29,2,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,High
REG02762,Male,1.7,94.4,62.49,60.47,61.36,61.86,62.66,60.07,64.89,65.58,62.42,6,yes,no,"Laptops, Mobile",yes,2-4 hrs,Medium,Low
REG02763,Female,4,86.1,58.05,59.92,55.28,56.04,54.73,49.14,44.21,45.65,52.88,4,yes,no,Laptops,yes,<2 hrs,Medium,Medium
REG02764,Male,2.2,88,82.91,84.39,85.53,86.5,90.17,85.84,93.85,91.62,87.6,2,yes,yes,Mobile,yes,>8 hrs,Medium,Medium
REG02765,Male,3.7,75.9,55.45,56.76,51.84,51.18,54.96,53.78,52.94,57.07,54.25,1,yes,no,Mobile,yes,2-4 hrs,High,High
REG02766,Female,4.6,87,52.39,54.86,56.64,53.68,52.36,58.27,53.72,48.7,53.83,3,yes,no,Mobile,yes,6-8 hrs,Medium,High
REG02767,Female,7.4,91,66.72,66.98,65.32,65.38,67.57,67.24,66.9,69.87,67,4,yes,yes,Mobile,no,6-8 hrs,Medium,High
REG02768,Male,3.9,81.2,62.9,67.03,64.08,61.54,59.3,57.89,55.33,53.51,60.2,5,yes,yes,Text books,yes,6-8 hrs,High,Medium
REG02769,Female,6.6,98,57.4,61.99,64.25,58.56,68.93,67.65,67.14,71.79,64.71,4,no,yes,"Laptops, Mobile",yes,2-4 hrs,Medium,Medium
REG02770,Female,7.4,82.4,53.91,54.07,51.37,54.81,57.84,53.57,58.34,56.17,55.01,7,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG02771,Male,7.4,91.1,62.04,67.58,68.18,68.86,69.4,71.83,75.45,77.29,70.08,0,yes,yes,Text books,yes,>8 hrs,Medium,Low
REG02772,Male,5.1,84.3,80.13,74.63,70.17,68.46,71.08,67.51,61.03,58.93,68.99,6,yes,no,"Laptops, Mobile, Text books",yes,2-4 hrs,Medium,Medium
REG02773,Female,0.6,86.7,79.94,78.69,80.53,80.89,80.89,74.01,76.3,74.56,78.23,1,yes,yes,Laptops,yes,2-4 hrs,High,Medium
REG02774,Male,5.4,68.6,71.35,69.05,70.41,73.94,67.78,69.46,67.93,66.19,69.51,1,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG02775,Female,6.6,85,56.17,58.43,64.27,63.01,66.78,64.82,72.42,72.29,64.77,6,no,no,Mobile,yes,6-8 hrs,Medium,Low
REG02776,Male,4.3,76.1,62.49,63.35,66.62,70.02,68.82,70.78,73,74.57,68.71,1,yes,yes,"Laptops, Mobile",no,>8 hrs,High,Medium
REG02777,Male,8,75.2,61.78,62.13,58.8,61.13,58.35,61.71,59.87,58.66,60.3,6,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Low
REG02778,Male,6.2,96,70.92,67.41,70.65,68.62,69.43,67.35,69.48,71.11,69.37,0,yes,no,Text books,yes,6-8 hrs,Medium,Medium
REG02779,Male,5.6,80.3,51.73,50.13,46.46,45.58,44.34,39.01,40.86,40.01,44.76,4,yes,yes,"Laptops, Mobile, Text books",yes,4-6 hrs,Medium,High
REG02780,Male,6.7,74,75.13,75.32,75.78,73.62,71.71,76.02,77.12,73.45,74.77,4,yes,yes,"Laptops, Text books",no,6-8 hrs,Medium,Medium
REG02781,Male,5.2,79.1,62.76,62.54,57.41,59.7,59.01,60.76,65.74,64.83,61.59,5,yes,yes,Text books,no,6-8 hrs,High,High
REG02782,Female,0.5,71.6,62.39,57.81,62.33,65.51,65.22,62.85,65.51,64.58,63.28,0,no,yes,Laptops,no,2-4 hrs,Medium,Low
REG02783,Other,3.5,93.5,81.34,75.8,79.49,81.85,83.99,76.71,76.98,78.18,79.29,1,yes,yes,"Laptops, Mobile",no,4-6 hrs,Medium,Medium
REG02784,Female,6.9,76.4,49.16,56.69,51.67,52.57,49.07,54.05,55.13,54.14,52.81,1,yes,no,"Laptops, Mobile",no,2-4 hrs,Medium,Medium
REG02785,Female,2.9,86.2,63.65,56.69,55.78,50.29,54.3,50.03,50.48,46.81,53.5,5,yes,yes,Laptops,yes,6-8 hrs,High,Medium
REG02786,Male,4.1,92.8,73.73,78.92,78.69,76.16,76.57,76.54,77.41,78.14,77.02,3,yes,yes,"Laptops, Mobile",yes,4-6 hrs,High,High
REG02787,Other,2.4,78,72.6,73.38,72.01,77.41,76.37,78.99,82.11,85.67,77.32,2,yes,yes,"Laptops, Mobile",no,4-6 hrs,High,Medium
REG02788,Male,8.1,86.3,83.45,75.7,82.71,83.74,79.46,78.22,78.86,75.52,79.71,2,yes,no,"Laptops, Mobile, Text books",no,2-4 hrs,Low,High
REG02789,Female,7.9,73.8,73.33,67.07,66.11,68.08,67.75,62.21,64.84,62.15,66.44,1,yes,yes,Text books,no,4-6 hrs,Medium,High
REG02790,Other,2.7,100,72.28,72.99,72.79,70.63,73.59,73.43,72.76,70.07,72.32,1,yes,yes,Text books,no,4-6 hrs,High,Medium
REG02791,Female,4.8,89.5,59.33,52.51,53.79,55.03,53.36,55.75,55.86,57.52,55.39,7,yes,yes,"Mobile, Text books",yes,4-6 hrs,Medium,Low
REG02792,Other,3.1,80.5,49.76,49.71,52.62,55.47,53.5,52.91,50.74,48.73,51.68,4,no,yes,"Laptops, Mobile",yes,2-4 hrs,High,High
REG02793,Female,5.7,75.8,57.89,53.79,58.57,59.25,59.35,57.4,55.64,60.63,57.82,3,yes,yes,Text books,yes,6-8 hrs,Medium,High
REG02794,Male,5.5,81.1,51.83,48.75,52.02,51.1,47.88,47.7,46.25,45.94,48.93,8,yes,yes,Mobile,yes,6-8 hrs,High,Medium
REG02795,Male,6.1,79.3,70.75,75.8,76.47,80.47,83.17,81.75,86.21,84.57,79.9,0,yes,no,Mobile,yes,>8 hrs,Medium,High
REG02796,Female,5.2,97.6,52.77,50.61,52.98,50.89,50.2,52.99,52.12,53.51,52.01,7,yes,yes,Mobile,no,6-8 hrs,Medium,Medium
REG02797,Male,10,72.2,58.21,56.85,53.87,49.72,45.44,45.57,44.06,42.94,49.58,9,yes,yes,"Mobile, Text books",no,4-6 hrs,Medium,High
REG02798,Female,2.4,83.1,59.45,52.07,59.01,56.59,55.99,59.02,58.82,55.38,57.04,2,yes,yes,"Laptops, Mobile",yes,<2 hrs,Medium,Medium
REG02799,Other,1.1,81.9,52.85,54.1,54.02,56.36,60.39,61.42,65.66,65.72,58.82,6,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG02800,Male,3.7,81.1,54.3,55.71,55.16,50.47,55.01,56.08,51.56,50.92,53.65,0,yes,yes,"Laptops, Mobile",yes,6-8 hrs,High,Medium
REG02801,Female,1.4,81.1,78.4,79.54,76.62,78.38,79.53,80.53,81.24,82.92,79.65,3,yes,yes,"Laptops, Text books",yes,6-8 hrs,Medium,Medium
REG02802,Female,1.5,81.1,49.63,50.97,51.3,55,54.17,49.8,57.21,57.56,53.2,2,yes,yes,Text books,no,4-6 hrs,High,Medium
REG02803,Female,2.5,89,65.91,61.95,63.66,58.55,56.79,53.83,49.34,49.72,57.47,6,yes,yes,Text books,yes,6-8 hrs,Low,Medium
REG02804,Other,2.7,86.9,51.98,49.75,44.3,45.12,41.81,40.16,36.88,36.78,43.35,6,yes,yes,"Laptops, Mobile",yes,4-6 hrs,Low,High
REG02805,Female,2.6,85.4,57.67,60.95,67.37,67.13,66.14,66.62,69.47,70.3,65.71,3,yes,no,Text books,yes,6-8 hrs,Medium,High
REG02806,Other,5.5,57.7,75.57,77.3,70.52,71.37,66.02,64.94,66.48,61.63,69.23,1,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Low
REG02807,Female,3.5,84.4,62.58,59.28,57.71,55.55,52.9,52.75,57.27,57.89,56.99,6,yes,yes,"Laptops, Text books",yes,6-8 hrs,Medium,Medium
REG02808,Male,4.1,68.8,55.67,58.87,62.77,63.74,61.98,67.43,70.63,69.37,63.81,3,yes,yes,Laptops,no,6-8 hrs,High,High
REG02809,Male,6.3,87.2,63.22,60.81,61.27,58,59.6,50.78,50.94,46.19,56.35,3,yes,no,Laptops,yes,4-6 hrs,Low,Medium
REG02810,Female,3,93.8,73.19,68.45,69.27,65.89,71.31,68.78,71.77,69.56,69.78,2,yes,no,"Laptops, Mobile, Text books",no,6-8 hrs,Medium,Medium
REG02811,Male,4,74.6,68.29,64.85,62.83,58.07,59.37,56.41,55.92,54.1,59.98,4,yes,no,Text books,no,4-6 hrs,Medium,Medium
REG02812,Female,5.2,79.9,53.44,61.01,62.19,59.3,63.76,66.45,69.56,70.1,63.23,3,no,yes,"Mobile, Text books",yes,6-8 hrs,Low,Medium
REG02813,Female,0.6,77.2,63.78,63.97,70.13,62.46,64.95,64.91,66.15,63.7,65.01,4,yes,no,"Laptops, Mobile",yes,6-8 hrs,Medium,Medium
REG02814,Male,0.5,91.9,64.31,66.02,63.88,63.24,67.18,66.69,61.62,59.6,64.07,5,yes,yes,"Laptops, Text books",yes,6-8 hrs,High,Medium
REG02815,Female,5.2,82.8,77.87,79.97,77.24,77.3,78.65,77.43,80.69,78.08,78.4,5,yes,no,Laptops,yes,2-4 hrs,High,Medium
REG02816,Female,5.5,95.8,67.79,67.84,63.22,64.24,63.27,65.52,64.24,55.15,63.91,3,yes,no,"Mobile, Text books",no,>8 hrs,Medium,High
REG02817,Female,8.6,85.3,69.46,68.18,73.64,74.27,77.73,79.31,81.07,82.66,75.79,3,yes,yes,Mobile,no,6-8 hrs,High,Medium
REG02818,Male,4.8,83.9,74.48,74.63,75.95,74.8,77.55,77.56,76.34,76.14,75.93,2,yes,yes,Laptops,yes,4-6 hrs,High,High
REG02819,Male,6.1,82.5,67.74,69.73,63.28,62.54,67.91,70.64,71.78,68.55,67.77,6,yes,no,Text books,yes,4-6 hrs,Medium,High
REG02820,Male,4.1,88.5,69.99,69.4,64.84,64.9,65.6,67.42,67.7,62.2,66.51,3,yes,yes,"Laptops, Text books",yes,4-6 hrs,High,Low
REG02821,Female,5.1,68.1,57.21,60.34,57.5,57.98,63.63,61.42,67.57,69.46,61.89,4,yes,yes,"Mobile, Text books",yes,>8 hrs,Medium,High
REG02822,Male,7.8,82.7,72.86,69.64,65.88,71.05,63.1,62.35,60.56,56.62,65.26,3,yes,no,Laptops,no,2-4 hrs,Low,High
REG02823,Female,0.5,81.4,79.54,72.85,71.65,72.03,69.43,66,63.73,61.11,69.54,4,yes,yes,"Laptops, Mobile",yes,2-4 hrs,High,Medium
REG02824,Male,5.3,87.8,69.47,63,65.39,63.08,64.67,66.47,66.35,62.35,65.1,5,yes,no,"Laptops, Mobile",no,4-6 hrs,High,Medium
REG02825,Male,8.8,80.5,58.26,60.22,58.37,54.54,53,48.83,49.74,48.49,53.93,7,yes,no,"Laptops, Mobile",no,6-8 hrs,Medium,Medium
REG02826,Female,5.1,73.7,65.58,58.48,62.47,60.05,59.25,56.13,51.12,52.71,58.22,7,yes,yes,"Laptops, Text books",yes,4-6 hrs,Medium,Low
REG02827,Female,7.8,82.1,74.65,82.62,79.92,81.68,82.55,82.93,82.97,80.09,80.93,2,yes,yes,Text books,yes,6-8 hrs,Medium,Medium
REG02828,Male,3.2,73.3,52.14,55.29,54.04,53.67,57.03,56.2,61.14,54.67,55.52,4,no,yes,"Laptops, Mobile",no,6-8 hrs,High,Medium
REG02829,Male,4.4,66.6,62,59.63,55.66,60.24,54.43,54.1,48.93,49.24,55.53,4,yes,yes,"Laptops, Mobile",yes,>8 hrs,High,High
REG02830,Male,4.6,87.8,66.68,66.24,69.62,73.05,74.84,79.15,75.64,81.28,73.31,5,yes,no,Text books,yes,>8 hrs,Medium,Medium
REG02831,Female,0.5,86.6,57.61,53.25,53.53,50.87,54.72,54.59,52.39,56.4,54.17,5,yes,no,Mobile,no,4-6 hrs,Medium,High
REG02832,Female,2.2,85.7,58.06,61.14,59.68,58.32,58.66,57.99,60.1,60.35,59.29,9,yes,no,Laptops,no,4-6 hrs,High,Medium
REG02833,Male,2.3,92.4,60.66,59.05,61.81,56.87,52.46,51.77,50.13,48.67,55.18,4,yes,yes,Text books,yes,>8 hrs,High,Medium
REG02834,Male,6.1,76.7,68.07,70.06,75.31,72.66,75.15,72.78,73.05,69.37,72.06,6,yes,no,Mobile,yes,4-6 hrs,High,Medium
REG02835,Male,6.2,70.6,60.6,59.2,55.81,50.54,48.68,47.23,45.06,47.17,51.79,8,yes,no,"Laptops, Mobile",yes,6-8 hrs,Medium,Medium
REG02836,Female,5.1,81.4,67.15,62.88,66.26,65.16,68.48,66.86,65.83,65.89,66.06,7,yes,yes,Laptops,no,6-8 hrs,High,Low
REG02837,Other,6.1,79.2,58.19,59.66,61.71,61.22,61.01,65.63,60.96,67.26,61.96,3,yes,yes,Text books,yes,4-6 hrs,Medium,Medium
REG02838,Male,4.2,75.3,65.9,61.23,62.6,62.05,64.8,58.99,61.32,63.61,62.56,3,yes,no,Laptops,yes,6-8 hrs,Low,High
REG02839,Female,6.9,81.4,64.47,67.26,62.88,64.82,65.78,65.86,67.03,66.63,65.59,3,yes,yes,Laptops,yes,6-8 hrs,Medium,Low
REG02840,Male,4.5,77.1,56.04,52.63,54.94,58.35,59.46,61.53,68.5,66.7,59.77,7,yes,no,Mobile,no,>8 hrs,High,Low
REG02841,Male,4.6,67.3,59.52,58.67,60.28,63.44,60.28,61.03,61.55,59.63,60.55,3,yes,yes,"Laptops, Text books",no,6-8 hrs,High,Medium
REG02842,Female,4,78.5,54.69,52.7,56,60.27,60.04,62.57,65.72,65.41,59.68,3,yes,yes,"Laptops, Mobile",no,6-8 hrs,High,High
REG02843,Female,5.9,72.9,79.22,76.44,66.67,73.35,69.45,67.69,61.19,62.23,69.53,5,yes,no,"Mobile, Text books",no,6-8 hrs,Low,Medium
REG02844,Female,3.7,83.9,51.97,51.59,53.3,47.29,44.15,43.17,38.17,38.42,46.01,3,yes,yes,Text books,no,6-8 hrs,Medium,Medium
REG02845,Female,6.5,76.8,80.2,80.21,73.83,74.42,74.15,71.83,69.48,67.95,74.01,4,yes,yes,Mobile,yes,6-8 hrs,High,Low
REG02846,Male,2.2,90.9,59.6,61.82,55.04,53.73,57.03,51.77,53.65,44.81,54.68,2,yes,yes,Text books,no,2-4 hrs,High,Medium
REG02847,Female,2.3,94.8,58.21,55.53,60.07,51.55,52.65,56.07,49.82,50.4,54.29,4,yes,yes,Mobile,no,2-4 hrs,Medium,Medium
REG02848,Male,5.9,87.4,54.92,52.86,52.61,49.6,46.7,44.9,42.99,40.7,48.16,8,yes,no,"Laptops, Mobile",no,6-8 hrs,Low,High
REG02849,Female,4.3,69.6,57.49,58.26,60.24,60.54,62.11,57.06,53.74,56.82,58.28,3,yes,yes,Mobile,yes,2-4 hrs,High,Low
REG02850,Male,3.6,94,58.4,55.66,56.15,56.21,54.85,55.12,55.3,56.76,56.06,5,yes,yes,Mobile,no,>8 hrs,Medium,Medium
REG02851,Female,6.3,94.6,58.86,60.88,62.44,65.71,70.25,70.42,73.81,74.19,67.07,6,yes,no,Text books,yes,>8 hrs,High,Medium
REG02852,Male,3.3,82.2,57.22,55.94,55.31,56.64,55.23,56.66,52.69,52.09,55.22,2,no,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG02853,Male,4.1,92.6,69.55,67.84,64.24,67.55,70.32,66.36,66.51,68.54,67.61,4,yes,yes,"Mobile, Text books",no,6-8 hrs,Medium,Medium
REG02854,Female,7.3,77.6,59.74,56.49,62.98,63.23,66.98,69.84,68.11,69.58,64.62,5,yes,yes,"Mobile, Text books",no,4-6 hrs,Medium,Medium
REG02855,Male,7.6,67.1,67.2,67.09,70.47,69.47,71.31,66.33,65.57,67.4,68.1,1,yes,yes,Laptops,no,4-6 hrs,Medium,Medium
REG02856,Female,7.6,75.9,55.47,50.33,51.65,52.56,49.48,46.15,43.52,40.84,48.75,3,yes,yes,Mobile,yes,2-4 hrs,Low,Low
REG02857,Male,3.9,95.8,70.64,67.01,70.77,62.39,64.08,66.83,62.11,60.3,65.52,7,yes,no,"Mobile, Text books",no,4-6 hrs,Medium,Medium
REG02858,Male,7,70.1,66,69.76,61.84,64.74,66.31,70.31,73.62,67.46,67.5,1,yes,yes,"Mobile, Text books",no,6-8 hrs,Medium,Medium
REG02859,Male,2.6,82,68.34,67.61,70.76,68.05,69.56,66.41,72.27,69.11,69.01,3,yes,yes,Text books,yes,6-8 hrs,Medium,Medium
REG02860,Male,2.7,82.3,70.6,68.81,69.77,74.05,71.37,69.54,69.1,68.2,70.18,0,yes,no,"Laptops, Text books",yes,>8 hrs,Medium,Low
REG02861,Female,0.5,77.9,75.46,72.54,68.63,68.39,69.52,66.01,60.92,61.03,67.81,2,yes,yes,"Laptops, Mobile, Text books",no,6-8 hrs,Low,Low
REG02862,Male,7.8,78.5,59.9,62.5,62.29,63.99,68.11,66.93,70.11,72.94,65.85,5,yes,yes,Mobile,no,6-8 hrs,Medium,Medium
REG02863,Female,2.8,82.6,59.41,57.55,53.37,53.21,50.92,50.78,48.24,44.72,52.28,6,yes,yes,Mobile,yes,4-6 hrs,Medium,Low
REG02864,Female,4.2,77.5,53.1,48.81,45.9,43.15,45.59,40.69,35.39,35,43.45,7,yes,no,"Laptops, Mobile",yes,6-8 hrs,Medium,Medium
REG02865,Male,2.7,70.6,52.32,53.55,54.77,59.74,57.82,57.78,66.48,63.32,58.22,4,yes,yes,"Mobile, Text books",yes,4-6 hrs,Low,Medium
REG02866,Female,5.9,83.7,49.66,51.77,50.12,52.51,51.59,51.41,52.34,47.61,50.88,2,yes,yes,"Laptops, Text books",yes,4-6 hrs,Low,High
REG02867,Female,3.7,90.6,62.97,62.28,64.59,62.6,64.57,63.95,64.85,65.2,63.88,4,yes,yes,Laptops,yes,>8 hrs,Medium,Low
REG02868,Female,1.9,89,68.83,64.89,65.29,63.53,64.27,57.85,58.85,56.05,62.44,3,yes,yes,"Laptops, Text books",no,>8 hrs,Medium,Medium
REG02869,Male,5.4,75.5,66.58,62.03,65.97,61.71,63.86,64.47,68.14,66.52,64.91,0,yes,yes,"Laptops, Text books",yes,6-8 hrs,Medium,High
REG02870,Male,1.6,72,62.12,59.99,61.52,64.31,68,70.62,73.48,75.85,66.99,4,yes,yes,Mobile,yes,2-4 hrs,Low,Medium
REG02871,Female,2.8,79.7,72.67,72.52,70.18,67.96,64.84,63.04,60.33,55.15,65.84,6,yes,no,"Laptops, Mobile",no,4-6 hrs,Low,High
REG02872,Female,0.5,94.5,73.94,75.17,79.49,79.62,83.31,85,85.79,85.86,81.02,4,yes,no,Laptops,yes,4-6 hrs,Medium,Medium
REG02873,Female,1.7,87.2,61.86,55.8,56.09,52.48,53.17,55.93,54.94,54.07,55.54,7,yes,no,"Mobile, Text books",no,>8 hrs,Medium,High
REG02874,Male,4.9,87.6,74.2,74.39,75.84,72.46,73.6,73.05,69.88,72.04,73.18,3,yes,yes,"Mobile, Text books",no,6-8 hrs,Medium,Low
REG02875,Female,0.6,89.1,77.17,71.19,73.56,72.38,73.86,72.22,69.82,74.57,73.1,1,yes,no,Laptops,no,>8 hrs,Medium,Low
REG02876,Male,1.5,85.4,60.59,61.89,65.09,68.17,73.66,70.22,68.7,74.65,67.87,5,yes,yes,"Mobile, Text books",no,6-8 hrs,Medium,Low
REG02877,Female,4.5,83,56.88,55.59,55.03,54.43,50.38,51.03,52.35,53.39,53.64,5,yes,no,"Laptops, Text books",yes,6-8 hrs,Low,High
REG02878,Male,3.4,87.3,61.37,60.67,60.45,63.13,61.53,59.19,60.15,62.87,61.17,3,no,yes,Text books,yes,2-4 hrs,Low,Medium
REG02879,Female,8.5,77.6,71.39,76.55,75.89,77.18,75.41,80.08,73.36,73.07,75.37,4,yes,yes,Laptops,no,4-6 hrs,Low,Medium
REG02880,Male,8.2,70.7,51.01,52.76,58.44,56.31,60.83,59.94,67.18,66.7,59.15,5,no,no,"Laptops, Text books",yes,4-6 hrs,Medium,Medium
REG02881,Male,2.8,87.8,67.85,70.47,68.56,68.65,70.69,76.1,75.99,72.19,71.31,1,yes,yes,"Laptops, Text books",no,>8 hrs,High,Low
REG02882,Female,5.6,91.9,68.9,68.49,70.67,72.06,77.38,74.93,77.37,80.26,73.76,1,yes,no,Text books,yes,6-8 hrs,High,Medium
REG02883,Male,6,73.1,78.19,75.08,76.64,71.19,72.34,70.14,67.92,61.51,71.63,0,yes,yes,"Mobile, Text books",no,>8 hrs,High,Medium
REG02884,Male,3.3,88.6,72.74,71.6,69.31,70.29,70.95,68.41,64.68,68.23,69.53,4,no,no,"Laptops, Mobile",yes,4-6 hrs,Medium,Medium
REG02885,Male,1.5,95.4,66.16,62.16,69.86,66.82,72.95,72.18,76.45,80.49,70.88,4,yes,yes,Text books,yes,6-8 hrs,Medium,Medium
REG02886,Female,4.5,82,61.92,62.69,64.74,62.67,58.71,62.39,58.07,60.95,61.52,2,no,yes,Laptops,no,>8 hrs,Low,Medium
